siteid,sitename,siteengname,damname,county,township,twd97lon,twd97lat,twd97tm2x,twd97tm2y,sampledate,samplelayer,sampledepth,itemname,itemengname,itemengabbreviation,itemvalue,itemunit,note
2104,寶山水庫四,"Pao-Shan Reservoir IV",寶山水庫,新竹縣,,121.0425833,24.7472778,254307.11,2737786.74,"2021-08-17 09:00:00",中水,,溶氧(電極法),"Dissolved Oxygen",DO,-,mg/L,
2104,寶山水庫四,"Pao-Shan Reservoir IV",寶山水庫,新竹縣,,121.0425833,24.7472778,254307.11,2737786.74,"2021-08-17 09:00:00",中水,,懸浮固體,"Suspended Solid",SS,-,mg/L,
2104,寶山水庫四,"Pao-Shan Reservoir IV",寶山水庫,新竹縣,,121.0425833,24.7472778,254307.11,2737786.74,"2021-08-17 09:00:00",中水,,氣溫,Temperature,TMP,-,℃,
2104,寶山水庫四,"Pao-Shan Reservoir IV",寶山水庫,新竹縣,,121.0425833,24.7472778,254307.11,2737786.74,"2021-08-17 09:00:00",中水,,採樣深度,"Sampling Depth",SampleDepth,-,m,
2104,寶山水庫四,"Pao-Shan Reservoir IV",寶山水庫,新竹縣,,121.0425833,24.7472778,254307.11,2737786.74,"2021-08-17 09:00:00",中水,,導電度,Conductivity,EC,-,μmho/cm25℃,
2104,寶山水庫四,"Pao-Shan Reservoir IV",寶山水庫,新竹縣,,121.0425833,24.7472778,254307.11,2737786.74,"2021-08-17 09:00:00",中水,,濁度,Turbidity,TB,-,NTU,
2104,寶山水庫四,"Pao-Shan Reservoir IV",寶山水庫,新竹縣,,121.0425833,24.7472778,254307.11,2737786.74,"2021-08-17 09:00:00",中水,,酸鹼值,pH,pH,-," ",
2104,寶山水庫四,"Pao-Shan Reservoir IV",寶山水庫,新竹縣,,121.0425833,24.7472778,254307.11,2737786.74,"2021-08-17 09:00:00",中水,,透明度,Transparency,SD,-,m,
2104,寶山水庫四,"Pao-Shan Reservoir IV",寶山水庫,新竹縣,,121.0425833,24.7472778,254307.11,2737786.74,"2021-08-17 09:00:00",中水,,水溫,"Water Temperature",WT,-,℃,
2104,寶山水庫四,"Pao-Shan Reservoir IV",寶山水庫,新竹縣,,121.0425833,24.7472778,254307.11,2737786.74,"2021-08-17 09:00:00",中水,,卡爾森指數,"Carlson Trophic State Index",CTSI,-,,
2104,寶山水庫四,"Pao-Shan Reservoir IV",寶山水庫,新竹縣,,121.0425833,24.7472778,254307.11,2737786.74,"2021-08-17 09:00:00",表水,,葉綠素a,Chlorophyl-A,Chl_a,-,μg/L,
2104,寶山水庫四,"Pao-Shan Reservoir IV",寶山水庫,新竹縣,,121.0425833,24.7472778,254307.11,2737786.74,"2021-08-17 09:00:00",表水,,總磷,Total-Phosphate,TP,-,mg/L,
2104,寶山水庫四,"Pao-Shan Reservoir IV",寶山水庫,新竹縣,,121.0425833,24.7472778,254307.11,2737786.74,"2021-08-17 09:00:00",表水,,正磷酸鹽,PO4-P,PO4,-,mg/L,
2104,寶山水庫四,"Pao-Shan Reservoir IV",寶山水庫,新竹縣,,121.0425833,24.7472778,254307.11,2737786.74,"2021-08-17 09:00:00",表水,,溶氧飽和度,"Dissolved Oxygen Saturation",DOS,-,%,
2104,寶山水庫四,"Pao-Shan Reservoir IV",寶山水庫,新竹縣,,121.0425833,24.7472778,254307.11,2737786.74,"2021-08-17 09:00:00",表水,,溶氧(滴定法),"Dissolved Oxygen",DO2,-,mg/L,
2104,寶山水庫四,"Pao-Shan Reservoir IV",寶山水庫,新竹縣,,121.0425833,24.7472778,254307.11,2737786.74,"2021-08-17 09:00:00",表水,,總鹼度,Alkalinity,TAlk,-,mg/L,
2104,寶山水庫四,"Pao-Shan Reservoir IV",寶山水庫,新竹縣,,121.0425833,24.7472778,254307.11,2737786.74,"2021-08-17 09:00:00",表水,,總硬度,"Total Hardness",TH,-,mg/L,
2104,寶山水庫四,"Pao-Shan Reservoir IV",寶山水庫,新竹縣,,121.0425833,24.7472778,254307.11,2737786.74,"2021-08-17 09:00:00",表水,,總氮,"Total Nitrogen",TN,-,mg/L,
2104,寶山水庫四,"Pao-Shan Reservoir IV",寶山水庫,新竹縣,,121.0425833,24.7472778,254307.11,2737786.74,"2021-08-17 09:00:00",表水,,亞硝酸鹽氮,Nitrite-Nitrogen,NO2_N,-,mg/L,
2104,寶山水庫四,"Pao-Shan Reservoir IV",寶山水庫,新竹縣,,121.0425833,24.7472778,254307.11,2737786.74,"2021-08-17 09:00:00",表水,,硝酸鹽氮,Nitrate-Nitrogen,NO3_N,-,mg/L,
2104,寶山水庫四,"Pao-Shan Reservoir IV",寶山水庫,新竹縣,,121.0425833,24.7472778,254307.11,2737786.74,"2021-08-17 09:00:00",表水,,總凱氏氮,TKN,TKN,-,mg/L,
2104,寶山水庫四,"Pao-Shan Reservoir IV",寶山水庫,新竹縣,,121.0425833,24.7472778,254307.11,2737786.74,"2021-08-17 09:00:00",表水,,有機氮,Organic-Nitrogen,Norg,-,mg/L,
2104,寶山水庫四,"Pao-Shan Reservoir IV",寶山水庫,新竹縣,,121.0425833,24.7472778,254307.11,2737786.74,"2021-08-17 09:00:00",表水,,氨氮,NH3-N,NH3_N,-,mg/L,
2104,寶山水庫四,"Pao-Shan Reservoir IV",寶山水庫,新竹縣,,121.0425833,24.7472778,254307.11,2737786.74,"2021-08-17 09:00:00",表水,,總有機碳,"Total Organic Carbon",TOC,-,mg/L,
2104,寶山水庫四,"Pao-Shan Reservoir IV",寶山水庫,新竹縣,,121.0425833,24.7472778,254307.11,2737786.74,"2021-08-17 09:00:00",表水,,化學需氧量,"Chemical Oxygen Demand",COD,-,mg/L,
2104,寶山水庫四,"Pao-Shan Reservoir IV",寶山水庫,新竹縣,,121.0425833,24.7472778,254307.11,2737786.74,"2021-08-17 09:00:00",表水,,溶氧(電極法),"Dissolved Oxygen",DO,-,mg/L,
2104,寶山水庫四,"Pao-Shan Reservoir IV",寶山水庫,新竹縣,,121.0425833,24.7472778,254307.11,2737786.74,"2021-08-17 09:00:00",表水,,懸浮固體,"Suspended Solid",SS,-,mg/L,
2104,寶山水庫四,"Pao-Shan Reservoir IV",寶山水庫,新竹縣,,121.0425833,24.7472778,254307.11,2737786.74,"2021-08-17 09:00:00",表水,,氣溫,Temperature,TMP,-,℃,
2104,寶山水庫四,"Pao-Shan Reservoir IV",寶山水庫,新竹縣,,121.0425833,24.7472778,254307.11,2737786.74,"2021-08-17 09:00:00",表水,,採樣深度,"Sampling Depth",SampleDepth,-,m,
2104,寶山水庫四,"Pao-Shan Reservoir IV",寶山水庫,新竹縣,,121.0425833,24.7472778,254307.11,2737786.74,"2021-08-17 09:00:00",表水,,導電度,Conductivity,EC,-,μmho/cm25℃,
2104,寶山水庫四,"Pao-Shan Reservoir IV",寶山水庫,新竹縣,,121.0425833,24.7472778,254307.11,2737786.74,"2021-08-17 09:00:00",表水,,濁度,Turbidity,TB,-,NTU,
2104,寶山水庫四,"Pao-Shan Reservoir IV",寶山水庫,新竹縣,,121.0425833,24.7472778,254307.11,2737786.74,"2021-08-17 09:00:00",表水,,酸鹼值,pH,pH,-," ",
2104,寶山水庫四,"Pao-Shan Reservoir IV",寶山水庫,新竹縣,,121.0425833,24.7472778,254307.11,2737786.74,"2021-08-17 09:00:00",表水,,透明度,Transparency,SD,-,m,
2104,寶山水庫四,"Pao-Shan Reservoir IV",寶山水庫,新竹縣,,121.0425833,24.7472778,254307.11,2737786.74,"2021-08-17 09:00:00",表水,,水溫,"Water Temperature",WT,-,℃,
2104,寶山水庫四,"Pao-Shan Reservoir IV",寶山水庫,新竹縣,,121.0425833,24.7472778,254307.11,2737786.74,"2021-08-17 09:00:00",表水,,卡爾森指數,"Carlson Trophic State Index",CTSI,-,,
2104,寶山水庫四,"Pao-Shan Reservoir IV",寶山水庫,新竹縣,,121.0425833,24.7472778,254307.11,2737786.74,"2021-07-15 10:15:00",底水,17.5,葉綠素a,Chlorophyl-A,Chl_a,2.2,μg/L,
2104,寶山水庫四,"Pao-Shan Reservoir IV",寶山水庫,新竹縣,,121.0425833,24.7472778,254307.11,2737786.74,"2021-07-15 10:15:00",底水,17.5,總磷,Total-Phosphate,TP,<0.002,mg/L,
2104,寶山水庫四,"Pao-Shan Reservoir IV",寶山水庫,新竹縣,,121.0425833,24.7472778,254307.11,2737786.74,"2021-07-15 10:15:00",底水,17.5,正磷酸鹽,PO4-P,PO4,-,mg/L,
2104,寶山水庫四,"Pao-Shan Reservoir IV",寶山水庫,新竹縣,,121.0425833,24.7472778,254307.11,2737786.74,"2021-07-15 10:15:00",底水,17.5,溶氧飽和度,"Dissolved Oxygen Saturation",DOS,6.2,%,
2104,寶山水庫四,"Pao-Shan Reservoir IV",寶山水庫,新竹縣,,121.0425833,24.7472778,254307.11,2737786.74,"2021-07-15 10:15:00",底水,17.5,溶氧(滴定法),"Dissolved Oxygen",DO2,-,mg/L,
2104,寶山水庫四,"Pao-Shan Reservoir IV",寶山水庫,新竹縣,,121.0425833,24.7472778,254307.11,2737786.74,"2021-07-15 10:15:00",底水,17.5,總鹼度,Alkalinity,TAlk,-,mg/L,
2104,寶山水庫四,"Pao-Shan Reservoir IV",寶山水庫,新竹縣,,121.0425833,24.7472778,254307.11,2737786.74,"2021-07-15 10:15:00",底水,17.5,總硬度,"Total Hardness",TH,-,mg/L,
2104,寶山水庫四,"Pao-Shan Reservoir IV",寶山水庫,新竹縣,,121.0425833,24.7472778,254307.11,2737786.74,"2021-07-15 10:15:00",底水,17.5,總氮,"Total Nitrogen",TN,-,mg/L,
2104,寶山水庫四,"Pao-Shan Reservoir IV",寶山水庫,新竹縣,,121.0425833,24.7472778,254307.11,2737786.74,"2021-07-15 10:15:00",底水,17.5,亞硝酸鹽氮,Nitrite-Nitrogen,NO2_N,-,mg/L,
2104,寶山水庫四,"Pao-Shan Reservoir IV",寶山水庫,新竹縣,,121.0425833,24.7472778,254307.11,2737786.74,"2021-07-15 10:15:00",底水,17.5,硝酸鹽氮,Nitrate-Nitrogen,NO3_N,-,mg/L,
2104,寶山水庫四,"Pao-Shan Reservoir IV",寶山水庫,新竹縣,,121.0425833,24.7472778,254307.11,2737786.74,"2021-07-15 10:15:00",底水,17.5,總凱氏氮,TKN,TKN,-,mg/L,
2104,寶山水庫四,"Pao-Shan Reservoir IV",寶山水庫,新竹縣,,121.0425833,24.7472778,254307.11,2737786.74,"2021-07-15 10:15:00",底水,17.5,有機氮,Organic-Nitrogen,Norg,-,mg/L,
2104,寶山水庫四,"Pao-Shan Reservoir IV",寶山水庫,新竹縣,,121.0425833,24.7472778,254307.11,2737786.74,"2021-07-15 10:15:00",底水,17.5,氨氮,NH3-N,NH3_N,0.02,mg/L,
2104,寶山水庫四,"Pao-Shan Reservoir IV",寶山水庫,新竹縣,,121.0425833,24.7472778,254307.11,2737786.74,"2021-07-15 10:15:00",底水,17.5,總有機碳,"Total Organic Carbon",TOC,0.94,mg/L,
2104,寶山水庫四,"Pao-Shan Reservoir IV",寶山水庫,新竹縣,,121.0425833,24.7472778,254307.11,2737786.74,"2021-07-15 10:15:00",底水,17.5,化學需氧量,"Chemical Oxygen Demand",COD,7.1,mg/L,
2104,寶山水庫四,"Pao-Shan Reservoir IV",寶山水庫,新竹縣,,121.0425833,24.7472778,254307.11,2737786.74,"2021-07-15 10:15:00",底水,17.5,溶氧(電極法),"Dissolved Oxygen",DO,0.5,mg/L,
2104,寶山水庫四,"Pao-Shan Reservoir IV",寶山水庫,新竹縣,,121.0425833,24.7472778,254307.11,2737786.74,"2021-07-15 10:15:00",底水,17.5,懸浮固體,"Suspended Solid",SS,1.7,mg/L,
2104,寶山水庫四,"Pao-Shan Reservoir IV",寶山水庫,新竹縣,,121.0425833,24.7472778,254307.11,2737786.74,"2021-07-15 10:15:00",底水,17.5,氣溫,Temperature,TMP,33.2,℃,
2104,寶山水庫四,"Pao-Shan Reservoir IV",寶山水庫,新竹縣,,121.0425833,24.7472778,254307.11,2737786.74,"2021-07-15 10:15:00",底水,17.5,採樣深度,"Sampling Depth",SampleDepth,17.5,m,
2104,寶山水庫四,"Pao-Shan Reservoir IV",寶山水庫,新竹縣,,121.0425833,24.7472778,254307.11,2737786.74,"2021-07-15 10:15:00",底水,17.5,導電度,Conductivity,EC,293,μmho/cm25℃,
2104,寶山水庫四,"Pao-Shan Reservoir IV",寶山水庫,新竹縣,,121.0425833,24.7472778,254307.11,2737786.74,"2021-07-15 10:15:00",底水,17.5,濁度,Turbidity,TB,0.70,NTU,
2104,寶山水庫四,"Pao-Shan Reservoir IV",寶山水庫,新竹縣,,121.0425833,24.7472778,254307.11,2737786.74,"2021-07-15 10:15:00",底水,17.5,酸鹼值,pH,pH,7.46," ",
2104,寶山水庫四,"Pao-Shan Reservoir IV",寶山水庫,新竹縣,,121.0425833,24.7472778,254307.11,2737786.74,"2021-07-15 10:15:00",底水,17.5,透明度,Transparency,SD,-,m,
2104,寶山水庫四,"Pao-Shan Reservoir IV",寶山水庫,新竹縣,,121.0425833,24.7472778,254307.11,2737786.74,"2021-07-15 10:15:00",底水,17.5,水溫,"Water Temperature",WT,25.8,℃,
2104,寶山水庫四,"Pao-Shan Reservoir IV",寶山水庫,新竹縣,,121.0425833,24.7472778,254307.11,2737786.74,"2021-07-15 10:15:00",底水,17.5,卡爾森指數,"Carlson Trophic State Index",CTSI,-,,
2104,寶山水庫四,"Pao-Shan Reservoir IV",寶山水庫,新竹縣,,121.0425833,24.7472778,254307.11,2737786.74,"2021-07-15 10:15:00",中水,9.2,葉綠素a,Chlorophyl-A,Chl_a,3.6,μg/L,
2104,寶山水庫四,"Pao-Shan Reservoir IV",寶山水庫,新竹縣,,121.0425833,24.7472778,254307.11,2737786.74,"2021-07-15 10:15:00",中水,9.2,總磷,Total-Phosphate,TP,0.006,mg/L,
2104,寶山水庫四,"Pao-Shan Reservoir IV",寶山水庫,新竹縣,,121.0425833,24.7472778,254307.11,2737786.74,"2021-07-15 10:15:00",中水,9.2,正磷酸鹽,PO4-P,PO4,-,mg/L,
2104,寶山水庫四,"Pao-Shan Reservoir IV",寶山水庫,新竹縣,,121.0425833,24.7472778,254307.11,2737786.74,"2021-07-15 10:15:00",中水,9.2,溶氧飽和度,"Dissolved Oxygen Saturation",DOS,53.2,%,
2104,寶山水庫四,"Pao-Shan Reservoir IV",寶山水庫,新竹縣,,121.0425833,24.7472778,254307.11,2737786.74,"2021-07-15 10:15:00",中水,9.2,溶氧(滴定法),"Dissolved Oxygen",DO2,-,mg/L,
2104,寶山水庫四,"Pao-Shan Reservoir IV",寶山水庫,新竹縣,,121.0425833,24.7472778,254307.11,2737786.74,"2021-07-15 10:15:00",中水,9.2,總鹼度,Alkalinity,TAlk,-,mg/L,
2104,寶山水庫四,"Pao-Shan Reservoir IV",寶山水庫,新竹縣,,121.0425833,24.7472778,254307.11,2737786.74,"2021-07-15 10:15:00",中水,9.2,總硬度,"Total Hardness",TH,-,mg/L,
2104,寶山水庫四,"Pao-Shan Reservoir IV",寶山水庫,新竹縣,,121.0425833,24.7472778,254307.11,2737786.74,"2021-07-15 10:15:00",中水,9.2,總氮,"Total Nitrogen",TN,-,mg/L,
2104,寶山水庫四,"Pao-Shan Reservoir IV",寶山水庫,新竹縣,,121.0425833,24.7472778,254307.11,2737786.74,"2021-07-15 10:15:00",中水,9.2,亞硝酸鹽氮,Nitrite-Nitrogen,NO2_N,-,mg/L,
2104,寶山水庫四,"Pao-Shan Reservoir IV",寶山水庫,新竹縣,,121.0425833,24.7472778,254307.11,2737786.74,"2021-07-15 10:15:00",中水,9.2,硝酸鹽氮,Nitrate-Nitrogen,NO3_N,-,mg/L,
2104,寶山水庫四,"Pao-Shan Reservoir IV",寶山水庫,新竹縣,,121.0425833,24.7472778,254307.11,2737786.74,"2021-07-15 10:15:00",中水,9.2,總凱氏氮,TKN,TKN,-,mg/L,
2104,寶山水庫四,"Pao-Shan Reservoir IV",寶山水庫,新竹縣,,121.0425833,24.7472778,254307.11,2737786.74,"2021-07-15 10:15:00",中水,9.2,有機氮,Organic-Nitrogen,Norg,-,mg/L,
2104,寶山水庫四,"Pao-Shan Reservoir IV",寶山水庫,新竹縣,,121.0425833,24.7472778,254307.11,2737786.74,"2021-07-15 10:15:00",中水,9.2,氨氮,NH3-N,NH3_N,0.02,mg/L,
2104,寶山水庫四,"Pao-Shan Reservoir IV",寶山水庫,新竹縣,,121.0425833,24.7472778,254307.11,2737786.74,"2021-07-15 10:15:00",中水,9.2,總有機碳,"Total Organic Carbon",TOC,1.17,mg/L,
2104,寶山水庫四,"Pao-Shan Reservoir IV",寶山水庫,新竹縣,,121.0425833,24.7472778,254307.11,2737786.74,"2021-07-15 10:15:00",中水,9.2,化學需氧量,"Chemical Oxygen Demand",COD,9.2,mg/L,
